username;name;sex;mail;birthdate;country;city;street;password
agnes06;Farkas Mihály József;M;vereslaszli@gmail.com;1935-03-17;Hungary;Németfürdőfalu;Lajosligeti út 123.;4QTX8TtCwSkj
istvan97;Z. Kiss Gyula;M;tamasantal@yahoo.com;1926-06-02;Hungary;Tapolcavég;Tatabányai utca 40.;j3G8ZjQlL51n
tjuhasz;Varga Mónika Rózsa;F;tereziakiraly@gmail.com;1976-10-24;Hungary;Miskolc;Dózsa györgy utca 190.;UMAq7Rbb1dZ4
erzsebetszilagyi;Nagy József;M;htakacs@hotmail.com;1937-03-07;Hungary;Hetvendevecser;Keresztnémetii tér 245.;J3YxHGx1OSU4
tiborsomogyi;Dr. D. Nagy Ferenc;M;kisslajos@hotmail.com;2003-03-10;Hungary;Tatabánya;Dózsa györgy út 108.;2Z7WWiHlmDFO
tithklara;Fekete Irén Krisztina;F;vereshajnalka@gmail.com;1961-10-16;Hungary;Sopron;Ceglédi út 71.;6yTqviHu5mlz
erika22;Dr. Szabó Bálint Tamás;M;dsois@yahoo.com;1909-08-30;Hungary;Szombathely;Hídfai utca 113.;Ka2NAPxfF97P
lillafarkas;Oláhné Juhász Margit Mária;F;kovacsnikoletta@hotmail.com;2014-03-14;Hungary;Tamásiháza;Petőfi tér 219.;aomQTjtM8YLl
zsuzsanna87;Dr. B. Kovács József;M;jszabi@hotmail.com;1953-04-19;Hungary;Drávaligetdevecser;Bajai utca 14.;6GHLwdPJqGLD
ilona00;Dr. Tóthné Horváth Noémi;F;eszterorosz@yahoo.com;1969-10-24;Hungary;Szolnok;Szabadság utca 226.;3ngQRurZo65j
farkasilona;P. Budai Attila;M;magyargyula@yahoo.com;1969-09-15;Hungary;Hetvenhida;Szenthetveni utca 89.;1aLGr7rK7btQ
ivarga;Dr. V. Farkas Henrietta;F;wfarkas@gmail.com;2017-02-01;Hungary;Székesfehérvár;Petőfi sándor tér 51.;9Et3cqUmSwW8
vargatamas;Dr. Horváth Dávidné Szabó Diána;F;gezatith@gmail.com;2013-09-14;Hungary;Nagykanizsa;Ady endre utca 82.;1BGWnAvsw0rd
levente38;Faragó Julianna;F;tpasztor@gmail.com;1953-12-22;Hungary;Magyargyörgyfalva;Balatonmindszenti utca 69.;A2FO8mtjI9FR
boroskatalin;Dr. Szalai Zsoltné;F;rszabi@hotmail.com;1956-04-13;Hungary;Drávamindszentfalva;Petőfi sándor tér 238.;EB7BqqIeYeUy
erika26;Boros Julianna Anita;F;judit70@hotmail.com;1955-04-09;Hungary;Kisgyörgykövesd;Ligetfai utca 83.;mXcDpRutQ89g
zsolt82;Oláh Somogyi Márta;F;attila19@hotmail.com;2018-10-30;Hungary;Tamásikőrös;Szenttóti utca 47.;24zcE8YuvoAu
gabriellasomogyi;Dr. Szabó Judit Kinga;F;maria45@yahoo.com;1965-09-13;Hungary;Melléknádasd;Egeri utca 86.;xRp4DczX79Gd
ferenc61;Szabó Ágnes;F;laszli39@gmail.com;1966-05-03;Hungary;Székkövesd;Tótfai utca 32.;aI5MSLY44dL4
lfodor;Szekeres Alexandra;F;gkovacs@yahoo.com;1934-03-01;Hungary;Salgótarján;Balatonligeti utca 85.;XUikQveg392u
mariafazekas;Papp T. Roland;M;irenfabian@gmail.com;1941-01-08;Hungary;Györgyhalas;Soproni utca 220.;PPtlmtGEW5Qz
miklispap;Kissné Oláh Katalin;F;tamasvarga@hotmail.com;1975-05-10;Hungary;Debrecen;Kossuth utca 53.;4KNt0qIykpL9
chorvath;A. Mészáros Jenő;M;nandor11@gmail.com;2005-01-29;Hungary;Sopron;Nyékhetveni út 2.;e1fJbfQ0Oe1R
rekacsonka;Szilágyi István;M;juhaszaniki@gmail.com;2006-04-17;Hungary;Tapolcaapáti;Pusztafürdői utca 28.;5Q14gDeGJK7u
horvathmarton;Papp Bernadett Edit;F;janos79@gmail.com;1975-02-08;Hungary;Nyíregyháza;Ligetfalvai utca 61.;4fMtiwXaLlkV
sandorbalogh;P. Vörös Béla;M;magdolnanemeth@yahoo.com;1995-05-06;Hungary;Töröktótapáti;Hátfalui utca 29.;FVfmcJpQ95SC
margit43;Kovácsné Biró Ilona;F;nemethjanos@yahoo.com;2008-04-03;Hungary;Belsőtótnádasd;Kossuth utca 72.;sTBFb6xnv7la
iszabi;Kovács Imrené;F;ncsonka@hotmail.com;1953-12-04;Hungary;Debrecen;Zalaegerszegi utca 229.;3wHoQeaF0bEZ
borosbalazs;Dr. Takács Jolán;F;nemesarpad@gmail.com;1915-08-11;Hungary;Bakonyharaszti;Keresztvári út 36.;UmKIIYufRG5S
annaveres;Soós József;M;minika88@gmail.com;1954-06-27;Hungary;Hídvárad;Petőfi sándor utca 69.;O5p5y0Z2ZWBC
nboros;Nagy Zsoltné;F;zsolt58@yahoo.com;1971-02-24;Hungary;Tapolcahalas;Nagykanizsai út 72.;gJOTqRPh49TY
adamborbely;Molnár Krisztián;M;jizseftith@yahoo.com;2015-06-10;Hungary;Eger;Petőfi sándor utca 21.;ovnAQLzz5Kc8
ildikikiss;Dr. M. Takács László;M;nemethmaria@gmail.com;1949-03-24;Hungary;Győr;Kossuth utca 144.;7860LewnP2PQ
hkiss;Tóth Ádám László;M;evamolnar@yahoo.com;1919-04-09;Hungary;Szombathely;Dunaújvárosi utca 30.;n5HJObtN06ic
attila02;Dr. Fehér Nagy Dominik;M;fabianannamaria@hotmail.com;1994-10-15;Hungary;Mellékvárad;Németmelléki utca 13.;1efmH5CBuYg6
bettinaszabi;Dr. Bodnárné Borbély Adrienn Marianna;F;iborbely@yahoo.com;1974-03-15;Hungary;Somogytamásiberény;Debreceni utca 95.;vzwbwPjR00OM
bfekete;Dr. Mezeiné Dudás Csilla;F;karoly44@yahoo.com;1975-03-22;Hungary;Pusztagyörgyvég;Mindszenthidai utca 171.;Y35cdAbHh6YU
alexandra05;M. Kovács Kálmán;M;lkiss@hotmail.com;1986-02-03;Hungary;Mezőkeresztharaszti;Budapesti utca 40.;IQjzjTGw15N6
gaborpapp;Faragóné Dr. Molnár Mária;F;erzsebetszabi@yahoo.com;1982-07-07;Hungary;Ligetharaszti;Tapolcafai utca 45.;CxRAblQrg41j
peterszoke;Major G. Péter;M;peter76@gmail.com;1941-10-21;Hungary;Tamásibánya;Fürdővégi utca 51.;RwwEBdxO1a4h
vsomogyi;B. Halász Károly;M;enikoilles@yahoo.com;1953-06-02;Hungary;Hódmezővásárhely;Petőfi sándor út 248.;OOuufrjA9K5w
ajuhasz;Kiss Zsolt Csaba;M;tracz@hotmail.com;2001-05-16;Hungary;Nyírligetharaszti;Mindszentházai utca 38.;L6EA7ld4MAfP
andrashorvath;Dr. L. Nagy Bence;M;feketemiklis@hotmail.com;1941-01-09;Hungary;Nyírfürdőfalva;Mosontóti utca 205.;zAhYL2rz9MAr
vkiraly;Simonné Dr. Rácz Andrea;F;laszli73@yahoo.com;1968-03-09;Hungary;Tótnádasd;Hátvári utca 144.;fj9BIY5mEeTS
xmeszaros;Rácz István Antal;M;jizsefvarga@hotmail.com;1955-04-17;Hungary;Szigetszentmiklós;József attila utca 140.;e8V0VnYuloTO
vorban;Hegedüs P. Sándor;M;dmolnar@yahoo.com;2002-06-09;Hungary;Hátfalva;Györgydevecseri utca 231.;wmw2C27r5KO4
gergo55;Pásztor Melinda;F;vivien36@yahoo.com;1923-01-13;Hungary;Debrecen;Dózsa györgy utca 219.;DJeDwalu9gFA
melindamagyar;K. Szabó Mária;F;vjuhasz@gmail.com;1931-03-02;Hungary;Dunakeszi;Zalaegerszegi utca 17.;3lN8LJJl1LjO
egulyas;Balázs Antalné Oláh Erzsébet;F;istvan42@hotmail.com;1994-12-11;Hungary;Háthalas;Nyíregyházai tér 182.;bjMiitnj7Aju
katalinkovacs;Vass Horváth Károly;M;viktor19@yahoo.com;1956-12-29;Hungary;Tapolcahalas;Dunatapolcai utca 208.;K4DpYz2s2IRj
nsimon;Molnárné Nagy Mária;F;katalinlukacs@yahoo.com;1914-06-15;Hungary;Fürdőhalas;Petőfi sándor utca 104.;VbV2ERIa1K6v
krisztina57;Dr. Horváth Á. Imre;M;milan56@gmail.com;1946-12-15;Hungary;Fürdőhalas;Tiszamártoni utca 198.;t8Z6YaSv0lB5
csaba37;Szabó Hajnalka;F;zsuzsannamolnar@gmail.com;1941-01-11;Hungary;Szigetszentmiklós;Borsodligeti tér 92.;dLjIhGuwLl6z
fszabi;Horváthné Sándor Éva;F;budaigizella@hotmail.com;1945-03-28;Hungary;Eger;Mindszenthidai utca 210.;5iToyfUoa4a5
kristifjuhasz;Balog Tóth László;M;mihalykis@gmail.com;1930-07-04;Hungary;Szigetszentmiklós;Ady endre utca 50.;aGmIMs4N4Ano
nandor87;Vass Dudás Mónika;F;imre47@gmail.com;1926-12-29;Hungary;Cegléd;Hajdútamásii út 142.;3Camz08RUCxk
richardbalint;Sándor József;M;zsombormate@gmail.com;1988-07-03;Hungary;Nyékhetvenfa;Petőfi sándor út 45.;Jz8hoRwQ7Uzl
dominiklakatos;Dr. Szabóné Vincze Mónika;F;tithzsolt@gmail.com;1953-07-30;Hungary;Ráchetvenapáti;Törökkereszti utca 166.;41FMJxzVdnI9
erikahorvath;Tóth Zoltánné Borbély Mária;F;olahzoltan@yahoo.com;1981-11-28;Hungary;Tapolcaberény;Dunaújvárosi utca 229.;HwGvkkrbw2gK
laszli12;Dr. Nagy Jánosné Papp Éva;F;dudasjulianna@yahoo.com;1973-01-20;Hungary;Keresztvárad;Hátfalvai utca 202.;JM5YBMEltm1j
erzsebet59;Kovács Andrásné;F;vkovacs@gmail.com;2012-02-12;Hungary;Győr;Arany jános utca 58.;lDPERIxby6me
norosz;Váradi Miklós István;M;evakiss@gmail.com;1930-11-22;Hungary;Fürdővég;Szentligeti tér 202.;92Nck7V1OBDk
orbandominik;Nagyné Juhász Beatrix;F;kovacsgizella@yahoo.com;1931-04-22;Hungary;Tiszatótfa;Szabadság utca 106.;y1ATXKp49M9n
bognarimre;Dr. Farkas Kiss Lajos;M;szilagyimaria@yahoo.com;1947-10-31;Hungary;Érd;Petőfi sándor utca 196.;ptVwP8UnOAQv
gmeszaros;Szabó Balázs Katalin;F;erikafarkas@hotmail.com;2024-08-18;Hungary;Mosonmagyaróvár;Mindszenthalasi utca 126.;6HGQLqwMjOMb
emeszaros;Dr. Nagy Antal Csilla;F;ilona45@gmail.com;2013-01-28;Hungary;Szombathely;Kecskeméti tér 149.;QIitM8Qfj4Ya
reka68;Takács Balogh Mátyás;M;levente54@yahoo.com;1925-09-09;Hungary;Mellékhalas;Petőfi utca 68.;i0tNzwwd3Q8V
judit72;Dr. Szabó G. Balázs;M;timea67@hotmail.com;1948-11-30;Hungary;Győr;Szentmindszenti tér 105.;2oQ1nnOfx1Ay
csonkagabriella;A. Szabó Éva;F;mkiss@yahoo.com;1959-09-11;Hungary;Ráchídvég;Nádasdi utca 155.;Qx3vFGvREy4r
ferenchorvath;Horváth Mátyás;M;kkiraly@hotmail.com;2021-01-03;Hungary;Töröktamásifa;Miskolci utca 219.;7udWooRHVjQZ
leventeszabi;Varga Anikó Hajnalka;F;bognargyorgy@gmail.com;1947-12-07;Hungary;Balatonhídvára;Vácmindszenti utca 234.;0FAmkS4WplYQ
ferenc06;Oláhné Szűcs Julianna;F;pnagy@yahoo.com;1965-01-02;Hungary;Érd;Mindszentkövesdi út 210.;3t4WMuTrRTml
janosfazekas;Dr. Kiss Erzsébet Margit;F;barnabas76@hotmail.com;1933-12-12;Hungary;Debrecen;Tapolcaberényi utca 127.;f3YnCrFzZD6r
tgaspar;Mártonné Lakatos Nikolett;F;szilagyiandrea@hotmail.com;1974-07-02;Hungary;Alsóligetvár;Petőfi sándor utca 9.;1Tn6ECwUqvzh
gabor66;Dr. A. Kelemen Lajos;M;etith@gmail.com;1910-01-21;Hungary;Dunaújváros;Fürdőbányai utca 237.;4E0buuNo5KtE
szabibence;Farkasné Papp Dóra;F;imregal@yahoo.com;1950-08-05;Hungary;Nyíregyháza;Szabadság utca 35.;ej0I1LypUs47
olahkatalin;Dr. Péter Istvánné Szücs Lilla;F;mariaolah@gmail.com;2021-11-01;Hungary;Kiskeresztháza;Újkereszti utca 240.;gJErll952XYq
morosz;I. Bakos Éva;F;szilvianemeth@gmail.com;2007-11-29;Hungary;Dunakeszi;Fürdőhidai utca 130.;d6lEfNka5UK0
erzsebet57;Dr. Papp Horváth Luca;F;tpal@gmail.com;2005-03-24;Hungary;Hídfa;Borsodháti út 165.;sMKH5lY82Ozx
tamas44;Balogh Károly;M;ballajizsef@hotmail.com;2016-02-14;Hungary;Nagykanizsa;Tatabányai út 10.;QdVhxLnG3g0B
vereshajnalka;Dr. Á. Szabó Máté;M;nagypeter@gmail.com;2007-02-27;Hungary;Győr;Tótapátii tér 203.;3SPWKQq4nT2m
attilatith;Nagy Attila Sándor;M;molnarveronika@hotmail.com;1926-04-06;Hungary;Békéscsaba;Békéscsabai út 8.;l2JhDoNVpBd6
kovacsandras;Németh Tímea;F;vmarton@hotmail.com;1994-05-22;Hungary;Eger;Győri utca 117.;kDXnTofNJ7Pd
wbalog;Dr. Tóth Attilané;F;minika22@yahoo.com;1947-04-01;Hungary;Vác;Hídharasztii utca 185.;OB8AnCX20fbe
hajdubence;Farkasné Dr. Tóth Edina Klára;F;nagyrozalia@gmail.com;1999-02-03;Hungary;Mosonmagyaróvár;Keresztberényi út 42.;qqqLik2s8lzS
msipos;Balogh Mária Magdolna;F;laszli59@gmail.com;1965-08-22;Hungary;Ligetvára;Petőfi tér 224.;ZXYbwF2dh19l
efazekas;Nagy Zoltán Ferenc;M;majorlaszli@gmail.com;1950-05-01;Hungary;Tapolcahida;Györgybányai utca 11.;2xmD6RsR94tu
kisedit;Horváth István Imre;M;csilla59@hotmail.com;1964-10-24;Hungary;Kecskemét;Mindszentvárai utca 132.;vB8DQ50u3QT8
zsolttith;Kiss Brigitta Ibolya;F;kerekesrichard@hotmail.com;1945-01-30;Hungary;Baja;Fürdőberényi utca 88.;46ai8qmxDRR4
qjakab;Farkas József;M;balazs92@yahoo.com;1994-08-11;Hungary;Mártonapáti;Falvai tér 56.;YSLdSCTx8cXg
cbudai;Molnárné Faragó Erika Annamária;F;kbogdan@yahoo.com;1965-06-10;Hungary;Veszprém;Béke út 153.;1QeqwxMCDEUA
oballa;Lakatos Sándor;M;zantal@yahoo.com;1964-06-15;Hungary;Tatabánya;Ráctapolcai utca 134.;KofRmpRz79Mb
ihegedus;Dr. Balla Jenőné;F;snagy@yahoo.com;1989-03-02;Hungary;Szerbmindszentfa;Tótkövesdi tér 174.;pzSlHKgx6JSy
maria21;Molnár Szabolcs;M;ckovacs@hotmail.com;1961-12-25;Hungary;Vác;Kossuth út 81.;54JhtwckShUY
xfaragi;Dr. Simon A. Richárd;M;diana55@gmail.com;1980-02-22;Hungary;Rácnádasd;Bácsmindszenti utca 1.;58Exg8ehr7K4
melinda02;Sárközi Gábor Tibor;M;katalinbiri@yahoo.com;1997-11-23;Hungary;Orosztótvára;Arany jános tér 180.;6EhZfgPYCd1F
adrienngulyas;Balogh Bernadett;F;horvathbarnabas@yahoo.com;1927-02-13;Hungary;Miskolc;Mindszentházai utca 185.;2jvLIJDzXgl9
qfabian;Péter József;M;nagymaria@gmail.com;1928-03-25;Hungary;Nagykanizsa;Szombathelyi utca 157.;jZv0osA8mn5v
pnagy;Dr. Horváthné Orsós Éva;F;tithandras@gmail.com;2002-11-22;Hungary;Györgykőrös;Dunakeszii utca 59.;FNa9ap6p0h11
jizsef21;Katona Zoltánné Molnár Tímea;F;balintpiroska@yahoo.com;1962-03-17;Hungary;Magyarhetvenkövesd;Ceglédi utca 34.;4t9CuNbW9Xvq
lakatoserzsebet;Dr. R. Simon Csilla;F;kovacserzsebet@gmail.com;2005-04-30;Hungary;Felsőhetvennémeti;Kossuth utca 138.;HBPWog4vHR01
horvathgyorgy;Kovács Gyöngyi Gizella;F;balazsorosz@gmail.com;1913-05-05;Hungary;Újmindszentfa;Szolnoki utca 201.;5ZjIG1GsMdsj
epapp;Prof. Dr. Hegedüsné Papp Mónika;F;tszalai@hotmail.com;1925-11-24;Hungary;Szerbtótvárad;Mellékkövesdi utca 194.;WrXzGi5q5Irg
zsuzsannabudai;Budai Piroska Katalin;F;luca52@gmail.com;1943-06-27;Hungary;Újmindszentvárad;Borsodtóti utca 45.;U6P3u8No7s6c
mate87;Prof. Dr. Horváth Rácz József;M;vargaanita@gmail.com;1973-05-12;Hungary;Mártonháza;Halasi utca 156.;YeSPMch95WCC
isomogyi;Biró Bálint;M;gulyasdaniel@yahoo.com;2023-07-16;Hungary;Tamásiháza;Bajai utca 22.;4F3lGp8SpKjt
jsimon;Molnár Biró Jenő;M;galeva@yahoo.com;1994-06-25;Hungary;Felsőhátkőrös;Szerbligeti tér 72.;d9JpeKN286T6
simonbela;B. Varga Dominik;M;wfazekas@hotmail.com;1987-10-07;Hungary;Borsodháthalas;Tapolcahidai utca 97.;400TXAbsuved
szabiilona;Borbély Zoltán;M;fehermaria@hotmail.com;2008-04-07;Hungary;Németkeresztfa;Némettóti utca 69.;ChQ899Sq7Zac
agnesbalogh;Tóth D. Patrik;M;peternemeth@hotmail.com;1920-07-17;Hungary;Debrecen;Hódmezővásárhelyi utca 154.;1UCvKTXw5QTK
henriettahorvath;Bakos Istvánné;F;laszli40@gmail.com;1921-07-02;Hungary;Békésmártonfalva;Hídházai utca 28.;zPP7x46z5f5w
anita47;Mészáros István;M;norbertpasztor@hotmail.com;1915-08-23;Hungary;Székhalas;Némettóti út 121.;jebFrJa62SI2
henriettaszabi;Juhász J. Gábor;M;feketejolan@gmail.com;1973-01-25;Hungary;Pécs;Ózdi utca 201.;Q1SQOSsAtlaX
feketeklaudia;Szabó J. Lajos;M;erzsebetkovacs@gmail.com;1958-09-07;Hungary;Melléknémeti;Szegedi utca 3.;F17gTk8vf4oC
aszabi;Kovács Hegedűs Attila;M;vargamark@gmail.com;1946-09-04;Hungary;Bakonyhátberény;Pécsi utca 236.;PB9nm5Xaff7w
jizsef03;M. Oláh Zsuzsanna;F;csababognar@yahoo.com;2017-11-04;Hungary;Mosonhátfalva;Kecskeméti utca 184.;UOLezZ7I0NFM
alexbiri;Dr. M. Kiss Erzsébet;F;attila90@yahoo.com;1964-02-24;Hungary;Fürdőhida;Béke utca 24.;0JkZWk0O66Rj
ltith;Dr. Boros Imrené;F;zlakatos@gmail.com;2025-02-22;Hungary;Tapolcavár;Lajosgyörgyi utca 241.;90PSShu9gGAU
szabierika;Nemesné Kovács Enikő;F;anagy@hotmail.com;2002-02-06;Hungary;Hátháza;Mosonmagyaróvári utca 182.;a6t4Z54dxsLv
szucskatalin;Horváth Patrik;M;juliannamagyar@gmail.com;1933-07-01;Hungary;Budatótvár;Dózsa györgy út 117.;JJ6wUNdB0bD1
ferencnagy;Dr. I. Kovács Klaudia;F;sandorhorvath@hotmail.com;1999-12-31;Hungary;Veszprém;Petőfi utca 156.;Ih5KOEYxQ0qW
laura77;Dr. Takács Rita Zsuzsanna;F;sandorkovacs@gmail.com;1911-03-02;Hungary;Györgyhida;Felsői utca 199.;krnYb5dV04qS
hvarga;T. Nagy Marianna;F;ppal@hotmail.com;1937-11-26;Hungary;Tapolcafa;Arany jános utca 218.;c7KiZtKznZ30
zsuzsannafekete;Dr. G. Horváth István;M;eszterhorvath@hotmail.com;1935-05-17;Hungary;Bácstamásiváros;Kossuth utca 171.;p6tP9lNvs0gE
zsuzsannafarkas;Kovács Mihályné;F;vhorvath@gmail.com;1931-02-07;Hungary;Szombathely;Szolnoki utca 190.;GZ9jgdtp13gW
nemethjizsef;Dr. Balla Kozma József;M;magdolna05@hotmail.com;1947-11-05;Hungary;Mártonváros;Arany jános tér 244.;1CqaVV3uxKGm
nagymiklis;Nagy Péterné Szűcs Beatrix;F;tamasmajor@yahoo.com;1917-11-11;Hungary;Hídvára;Szabadság utca 149.;4H7C1ou8uX1t
kovacsakos;Bognár Jánosné;F;csabafazekas@hotmail.com;2017-12-14;Hungary;Tapolcaharaszti;Szegedi utca 93.;My303F7cjLFq
magdolna65;Dr. Pataki S. Sándor;M;timeanemeth@hotmail.com;1969-11-09;Hungary;Nyírtapolcaháza;Szabadság utca 59.;37LoPUft0Vus
maria73;L. Antal Pál;M;egulyas@gmail.com;1997-03-09;Hungary;Nyírkeresztkövesd;Budapesti utca 168.;4RNPKrYpLZUh
pinterjanos;Horváth Gábor Benedek;M;viktor12@gmail.com;2022-11-26;Hungary;Hídháza;Hídapátii utca 233.;jM74fmfyV2Fn
alex07;E. Nagy Tünde;F;cvoros@yahoo.com;1997-09-22;Hungary;Dunaújváros;Szegedi utca 6.;QfAWThWwk6Bu
katalin09;Dr. Mezei Norbert László;M;minikanagy@yahoo.com;1952-04-27;Hungary;Háthida;Petőfi utca 172.;qni7MzBeO1gB
katonapiroska;Barna Enikő;F;gyorgy33@hotmail.com;1956-07-11;Hungary;Keresztdevecser;Mosonmagyaróvári utca 70.;mtfdjFre218U
janoskovacs;Dr. Kovács Zsuzsanna;F;jlakatos@hotmail.com;1924-07-15;Hungary;Mindszentfalva;Tótfalvai körút 16.;utYqFfVRB1Z3
jjuhasz;Nagy Lászlóné;F;laszlitith@yahoo.com;2018-07-14;Hungary;Hajdúháza;Kossuth tér 62.;UvzwPUQz81Q5
sandorhenrik;Dr. Pap Sándorné;F;csabakatona@yahoo.com;1916-08-20;Hungary;Baja;Bakonymelléki tér 12.;9ChIxlJ4BHJI
karoly43;B. Papp Ilona;F;nagyarpad@hotmail.com;1967-11-12;Hungary;Keresztdevecser;Béke utca 90.;vyV2SlAe2uRc
margitbodnar;Dr. Mészáros Péter Csaba;M;vargabela@hotmail.com;1981-01-07;Hungary;Cegléd;Hídbányai út 211.;bEctSWLl1IAg
istvanlakatos;L. Simon Mihály;M;rizatith@hotmail.com;1994-08-08;Hungary;Székapáti;Dunaújvárosi tér 204.;8eKbjMxzh2eH
tithhajnalka;J. Tóth Petra;F;vince09@hotmail.com;1963-06-15;Hungary;Tapolcafalva;Arany jános utca 77.;0KBldgbEIJal
takacseva;Dr. Juhász Csabané;F;afarkas@hotmail.com;1948-11-28;Hungary;Keresztvár;Alsómártoni utca 238.;lbzCvjciS0jF
ballaattila;Orbánné Dr. Rácz Mária;F;karolyszabi@yahoo.com;1996-12-13;Hungary;Kecskemét;Törökgyörgyi utca 175.;SJ7SPa8516Rb
peter12;Kovács Miklós;M;judittith@gmail.com;2021-08-19;Hungary;Magyarligetfalu;Szigetszentmiklósi utca 8.;h6OnqygpS25J
dkozma;Kovács J. Attila;M;szilagyiibolya@hotmail.com;1916-07-14;Hungary;Nagyvára;Borsodhídi utca 166.;U6F2q0MAGmgp
pmagyar;Kissné Dr. Szücs Krisztina Krisztina;F;balint51@yahoo.com;2021-08-27;Hungary;Tatabánya;Hetvenbányai tér 23.;N2rTkxaTTqfs
lili89;Boros K. Erzsébet;F;klaudiahorvath@hotmail.com;1922-06-15;Hungary;Háthida;Győri utca 131.;5ltuONfdiNTh
csaba55;Katona Milán Olivér;M;terezsois@yahoo.com;2022-06-28;Hungary;Híddevecser;Mosonmagyaróvári utca 217.;liUaUWfbhq1Y
unagy;Baloghné Kovács Edit;F;endre89@gmail.com;1972-10-31;Hungary;Rácmellékvég;Kossuth utca 244.;1LztbzRlPi3D
laszli67;Kovács Bernadett Tünde;F;zsuzsannanemeth@hotmail.com;2013-05-28;Hungary;Pusztatótfa;Pilisligeti utca 223.;hM3KmKis63Mm
mdeak;Dr. E. Kovács Erzsébet;F;stakacs@gmail.com;1944-06-14;Hungary;Tapolcavárad;Tatabányai utca 123.;t0atBsrPL6U1
andreahorvath;Molnárné Dr. Mezei Barbara Anikó;F;lmagyar@gmail.com;1922-09-03;Hungary;Sopron;Dózsa györgy utca 205.;QgLmuUSZC0ER
budaietelka;Dr. Lakatos Alexandra Klára;F;szabikrisztina@gmail.com;1954-03-30;Hungary;Ligetbánya;Piliskereszti utca 98.;47zvTxmoVpr0
ilona74;Balázs Nóra;F;flaszli@hotmail.com;2017-10-08;Hungary;Hídhalas;Hódmezővásárhelyi utca 114.;81AgezVJlKGU
eva59;Dr. Horváth Ferenc András;M;istvan45@gmail.com;1983-08-18;Hungary;Hídváros;Veszprémi utca 58.;VbnVYYocS1VH
nagyborbala;Sárközi Péter;M;maria21@gmail.com;1940-12-11;Hungary;Mártonbánya;Petőfi sándor utca 56.;NXv5ij4A124T
kovacsadam;Lukács Attila Balázs;M;gsandor@gmail.com;1930-04-02;Hungary;Veszprém;Egeri utca 28.;0ZiZgBf85EeM
lbogdan;Dr. Nagy Tamás;M;borossandor@yahoo.com;1927-03-31;Hungary;Nyékhetvenharaszti;Hátdevecseri utca 112.;kf1TLRQxQfm8
molnarjulianna;Dr. Mezei Józsefné;F;bencemate@hotmail.com;1983-08-10;Hungary;Somogytamásiapáti;Hídnémetii utca 111.;c4usXtAbtCAv
horvathbence;Kovács Péter István;M;nkiraly@gmail.com;1969-02-19;Hungary;Szerbkeresztdevecser;Szerbligeti utca 143.;wT5xTMBt7kUl
daniel31;Dr. Biró Á. Julianna;F;szabolcsbiri@yahoo.com;2001-05-07;Hungary;Bácstamásivár;Béke utca 147.;9Vkkrk3nOWwq
peter48;M. Balogh László;M;aniki79@hotmail.com;1989-02-08;Hungary;Hátvég;Petőfi utca 126.;1BxvSVboCjur
nikoletta36;Dr. M. Kovács Julianna;F;rita03@gmail.com;1995-06-13;Hungary;Eger;Petőfi sándor utca 183.;bf56RTIhS5Al
krisztianbarna;Balázs Ibolya Éva;F;alexandra23@gmail.com;2006-05-13;Hungary;Háthida;Nagytamásii tér 30.;8VudgwEnh8Va
arnold43;H. Nagy Sára;F;szilagyiilona@hotmail.com;1978-01-03;Hungary;Nagykanizsa;Béke utca 73.;aYilFwseFw6Y
melindavarga;Török S. Máté;M;istvanmate@gmail.com;1965-07-19;Hungary;Borsodtamásinádasd;Arany jános utca 172.;QJ7nMqvDUgC5
mariapinter;Barta Gyula István;M;lakatoskatalin@gmail.com;1993-08-22;Hungary;Mezőtótnádasd;Miskolci utca 73.;Bt3MN2Kptsy3
krisztinagulyas;Oláh Norbert;M;szilviavirag@yahoo.com;1996-12-29;Hungary;Györgyfalva;Ady endre utca 120.;tnAGvgkUEYl3
irmapeter;Dr. Rácz Csabané Molnár Erika;F;maria57@yahoo.com;1933-03-18;Hungary;Hátvár;Váci utca 38.;chiOynlJ00jH
uvarga;Kiss Istvánné;F;brigittaveres@hotmail.com;2007-10-14;Hungary;Veszprém;Mátramelléki utca 146.;b8SQ0lqs3UK8
szilagyiiren;Varga Boros Ilona;F;lilla75@hotmail.com;1923-09-29;Hungary;Nyírtamásiberény;Székesfehérvári utca 98.;f599hXSvrXtT
materacz;S. Molnár István;M;vargailona@yahoo.com;1920-08-03;Hungary;Nyíregyháza;Petőfi sándor tér 140.;1sXZmA3ilvUw
mate75;Király Istvánné Lakatos Mária;F;gsarkozi@yahoo.com;1946-01-13;Hungary;Szeged;Tatabányai utca 245.;hn7hyQyJ1WQw
laszlitamas;Péter Zoltánné;F;tvarga@gmail.com;1993-04-15;Hungary;Szigetszentmiklós;Ceglédi út 25.;Li80QFhBFbZE
szabizoltan;Kovács Máténé Szabó Judit;F;erika95@yahoo.com;1953-08-31;Hungary;Felsőhídfalu;Budapesti utca 60.;0h8O4DjQuQZt
torokgeza;Dr. Kovács Zsuzsanna Magdolna;F;ksimon@yahoo.com;1947-10-09;Hungary;Felsőmártonapáti;Budakereszti utca 26.;73ZdmILQu40I
nagyrenata;Gáspár K. József;M;xhorvath@yahoo.com;1976-12-06;Hungary;Bánya;Petőfi sándor utca 35.;9Y4Onuar8z4P
